sample_index,run_number,timestamp_local_iso8601,sim_time_s,state_vehicle_speed_kmh,state_beta_trucksim_deg,state_yaw_rate_trucksim_degps,state_x_m,state_y_m,state_xt_m,state_yt_m,cmd_delta1_deg,cmd_delta2_deg,cmd_delta3_deg,case_id,case_name
1,2026年09月07日_16时03分35秒_第015次,2026-09-07T16:03:35,0,0.1,0,0,-1.05819009496492,0,0,0,0,0,-0,MV-202,sine_steer_python
2,2026年09月07日_16时03分35秒_第015次,2026-09-07T16:03:35,0.001,0.1,0,0,-1.05819009496492,0,0,0,0,-4.73838466204978e-08,-2.00528438897947e-06,MV-202,sine_steer_python
3,2026年09月07日_16时03分35秒_第015次,2026-09-07T16:03:35,0.002,40,-1.04278536291435e-35,4.70468973902358e-20,-1.05816231718715,0,2.77777777777778e-05,0,0,-8.30121025249693e-09,-3.5130721788567e-07,MV-202,sine_steer_python
4,2026年09月07日_16时03分35秒_第015次,2026-09-07T16:03:35,0.003,39.9999422269714,-3.02435872530123e-09,-0.00135305768086938,-1.04150933490558,6.50844639819591e-25,0.0166815574786947,0,0,2.5006449160562e-08,1.05827292847498e-06,MV-202,sine_steer_python
5,2026年09月07日_16时03分35秒_第015次,2026-09-07T16:03:35,0.004,39.9999063041802,2.02953001280567e-06,-0.000781035331213993,-1.03039799155213,4.9383034335417e-08,0.0277938998506727,0,0,3.43816833607809e-08,1.45503283982825e-06,MV-202,sine_steer_python
6,2026年09月07日_16时03分35秒_第015次,2026-09-07T16:03:35,0.005,39.9998303385958,2.2326879816758e-06,-0.000744497081450399,-1.01928662100934,5.33732648009149e-08,0.0389064022616425,0,0,2.47194565345873e-08,1.04612740054374e-06,MV-202,sine_steer_python
7,2026年09月07日_16时03分35秒_第015次,2026-09-07T16:03:35,0.006,39.9997470306577,2.76548093969397e-06,-0.000656157791184502,-1.00817525870398,6.86561153080405e-08,0.0500189680639432,0,0,7.64385150266979e-09,3.23487795592985e-07,MV-202,sine_steer_python
8,2026年09月07日_16时03分35秒_第015次,2026-09-07T16:03:35,0.007,39.9996531254696,3.10753205386632e-06,-0.000534804591045643,-0.997063917291688,7.89363617285516e-08,0.0611315255673373,0,0,-7.02255602068759e-09,-2.97194570795499e-07,MV-202,sine_steer_python
9,2026年09月07日_16时03分35秒_第015次,2026-09-07T16:03:35,0.008,39.9995508250131,3.29547658321198e-06,-0.000418539514359409,-0.985952610269646,8.64804204155474e-08,0.0722440219718071,0,0,-1.33254352308625e-08,-5.63932418970101e-07,MV-202,sine_steer_python
10,2026年09月07日_16时03分35秒_第015次,2026-09-07T16:03:35,0.009,39.9994413860876,3.35838258966996e-06,-0.00031094683211091,-0.974841346377467,9.16786615164664e-08,0.0833564224468072,0,0,-8.72178773236441e-09,-3.69106056833662e-07,MV-202,sine_steer_python
11,2026年09月07日_16时03分35秒_第015次,2026-09-07T16:03:35,0.01,39.9993257104417,3.31451965120573e-06,-0.000214392274004174,-0.963730131278552,9.47151976012298e-08,0.0944687063792256,0,0,6.36805132079947e-09,2.69495931896234e-07,MV-202,sine_steer_python
12,2026年09月07日_16时03分35秒_第015次,2026-09-07T16:03:35,0.011,39.9992043932232,3.18361931118613e-06,-0.00013159439924538,-0.952618968154735,9.60131433752622e-08,0.105580864519289,0,0,2.91645145944901e-08,1.23424225763882e-06,MV-202,sine_steer_python
13,2026年09月07日_16时03分35秒_第015次,2026-09-07T16:03:35,0.012,39.9990777971272,2.98568394812185e-06,-6.22404018298704e-05,-0.941507858300402,9.58879087341577e-08,0.11669289637234,0,0,5.54028582130826e-08,2.34464895957765e-06,MV-202,sine_steer_python
14,2026年09月07日_16时03分35秒_第015次,2026-09-07T16:03:35,0.013,39.9989461135776,2.73789871455693e-06,-5.44845801337761e-06,-0.930396801631012,9.46436180201177e-08,0.127804807917437,0,0,8.02959787249205e-08,3.39812581963864e-06,MV-202,sine_steer_python
15,2026年09月07日_16时03分35秒_第015次,2026-09-07T16:03:35,0.014,39.9988094140621,2.45506939010017e-06,4.02535347031663e-05,-0.919285797113915,9.25334678911143e-08,0.138916609648822,0,0,9.9382278488601e-08,4.20585802563759e-06,MV-202,sine_steer_python
16,2026年09月07日_16时03分35秒_第015次,2026-09-07T16:03:35,0.015,39.9986676921491,2.14940222764257e-06,7.65452266385442e-05,-0.908174843125037,8.97656004122754e-08,0.150028314931419,0,0,1.09129421420051e-07,4.61835711449655e-06,MV-202,sine_steer_python
17,2026年09月07日_16时03分35秒_第015次,2026-09-07T16:03:35,0.016,39.9985208970604,1.83067404738066e-06,0.000105093454004221,-0.897063937737088,8.65056297727152e-08,0.161139938652038,0,0,1.07265371788351e-07,4.53947053408302e-06,MV-202,sine_steer_python
18,2026年09月07日_16时03分35秒_第015次,2026-09-07T16:03:35,0.017,39.9983689597484,1.50653383938069e-06,0.000127430647921856,-0.885953078945968,8.28817329684782e-08,0.172251496142006,0,0,9.28860274857026e-08,3.93093668319494e-06,MV-202,sine_steer_python
19,2026年09月07日_16时03分35秒_第015次,2026-09-07T16:03:35,0.018,39.998211812458,1.18283795015477e-06,0.000144883879124432,-0.874842264842569,7.89911407018383e-08,0.183363002343299,0,0,6.64105690708437e-08,2.81049528307811e-06,MV-202,sine_steer_python
20,2026年09月07日_16时03分35秒_第015次,2026-09-07T16:03:35,0.019,39.9980494027395,8.63994482679527e-07,0.000158550367725727,-0.863731493737315,7.49064330418243e-08,0.194474471188531,0,0,2.94287051578525e-08,1.24542280228032e-06,MV-202,sine_steer_python
21,2026年09月07日_16时03分35秒_第015次,2026-09-07T16:03:35,0.02,39.9978817028311,5.53280363024201e-07,0.000169301038600793,-0.852620764244652,7.06814228076303e-08,0.205585915164844,0,0,-1.55533937565653e-08,-6.58219623777844e-07,MV-202,sine_steer_python
22,2026年09月07日_16时03分35秒_第015次,2026-09-07T16:03:35,0.021,39.9977087152626,2.53116351902058e-07,0.000177801518081745,-0.841510075334326,6.63562333933129e-08,0.216697345032635,0,0,-6.54704128525655e-08,-2.77070787192057e-06,MV-202,sine_steer_python
23,2026年09月07日_16时03分35秒_第015次,2026-09-07T16:03:35,0.022,39.9975304754494,-3.47064046949473e-08,0.000184542271546819,-0.830399426355777,6.19614627003622e-08,0.227808769671679,0,0,-1.17130043851699e-07,-4.95694345580392e-06,MV-202,sine_steer_python
24,2026年09月07日_16时03分35秒_第015次,2026-09-07T16:03:35,0.023,39.9973470519562,-3.08848442760989e-07,0.0001898719421374,-0.819288817041381,5.75214287462661e-08,0.238920196029448,0,0,-1.67647257891638e-07,-7.09483195397411e-06,MV-202,sine_steer_python
25,2026年09月07日_16时03分35秒_第015次,2026-09-07T16:03:35,0.024,39.9971585481016,-5.68288679996362e-07,0.000194043868885273,-0.808178247493596,5.30565666935755e-08,0.250031629148985,0,0,-2.14788120788921e-07,-9.08983327178715e-06,MV-202,sine_steer_python
26,2026年09月07日_16时03分35秒_第015次,2026-09-07T16:03:35,0.025,39.9969650939255,-8.12250453269049e-07,0.000197194448921451,-0.797067718159113,4.8585116599449e-08,0.261143072257758,0,0,-2.57154080244237e-07,-1.08827606759361e-05,MV-202,sine_steer_python
27,2026年09月07日_16时03分35秒_第015次,2026-09-07T16:03:35,0.026,39.9967668433997,-1.04007549476307e-06,0.000199437729240073,-0.785957229797695,4.41241123168599e-08,0.272254526896203,0,0,-2.94190539370531e-07,-1.24501436261609e-05,MV-202,sine_steer_python
