step_id,sim_time_s,Vx_kmh,beta_deg,w_degps,delta1_deg,delta2_deg,delta3_deg,fb_deg,beta_int_deg,status
0,0.000000,40.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,OK
1,0.010000,39.999182,-0.000000,-0.000034,0.000000,0.000000,0.000000,0.000000,-0.000000,OK
2,0.020000,39.997615,0.000001,-0.000066,0.000000,-0.000000,-0.000000,-0.000000,0.000000,OK
3,0.030000,39.995707,0.000000,0.000041,0.000000,-0.000000,-0.000000,-0.000000,0.000000,OK
4,0.040000,39.993584,-0.000000,0.000056,0.000000,0.000000,0.000000,0.000000,0.000000,OK
5,0.050000,39.991398,-0.000001,0.000042,0.000000,0.000000,0.000000,0.000000,-0.000000,OK
6,0.060000,39.989214,-0.000000,0.000041,0.000000,0.000000,0.000000,0.000000,-0.000000,OK
7,0.070000,39.987030,-0.000000,0.000051,0.000000,0.000000,0.000000,0.000000,-0.000000,OK
8,0.080000,39.984808,-0.000000,0.000065,0.000000,0.000000,0.000000,0.000000,-0.000000,OK
9,0.090000,39.982494,-0.000000,0.000079,0.000000,0.000000,0.000000,0.000000,-0.000000,OK
10,0.100000,39.980026,-0.000000,0.000091,0.000000,0.000000,0.000000,0.000000,-0.000000,OK
11,0.110000,39.977353,-0.000001,0.000096,0.000000,0.000000,0.000000,0.000000,-0.000000,OK
12,0.120000,39.974430,-0.000001,0.000095,0.000000,0.000000,0.000001,0.000001,-0.000000,OK
13,0.130000,39.971229,-0.000001,0.000084,0.000000,0.000000,0.000001,0.000001,-0.000000,OK
14,0.140000,39.967732,-0.000001,0.000067,0.000000,0.000000,0.000001,0.000001,-0.000000,OK
15,0.150000,39.963933,-0.000002,0.000043,0.000000,0.000000,0.000001,0.000001,-0.000000,OK
16,0.160000,39.959838,-0.000002,0.000014,0.000000,0.000000,0.000001,0.000001,-0.000000,OK
17,0.170000,39.955458,-0.000001,-0.000018,0.000000,0.000000,0.000001,0.000001,-0.000000,OK
18,0.180000,39.950817,-0.000001,-0.000051,0.000000,0.000000,0.000001,0.000001,-0.000000,OK
19,0.190000,39.945943,0.000000,-0.000084,0.000000,0.000000,0.000000,0.000000,-0.000000,OK
20,0.200000,39.940869,0.000001,-0.000115,0.000000,-0.000000,-0.000001,-0.000001,-0.000000,OK
21,0.210000,39.935623,0.000003,-0.000143,0.000000,-0.000000,-0.000002,-0.000002,-0.000000,OK
22,0.220000,39.930225,0.000005,-0.000166,0.000000,-0.000000,-0.000003,-0.000003,-0.000000,OK
23,0.230000,39.924681,0.000008,-0.000184,0.000000,-0.000000,-0.000005,-0.000005,0.000000,OK
24,0.240000,39.918984,0.000011,-0.000195,0.000000,-0.000000,-0.000006,-0.000006,0.000000,OK
25,0.250000,39.913114,0.000014,-0.000201,0.000000,-0.000000,-0.000008,-0.000008,0.000000,OK
26,0.260000,39.907040,0.000017,-0.000203,0.000000,-0.000000,-0.000010,-0.000010,0.000000,OK
27,0.270000,39.900731,0.000020,-0.000203,0.000000,-0.000000,-0.000012,-0.000012,0.000001,OK
28,0.280000,39.894157,0.000023,-0.000205,0.000000,-0.000000,-0.000014,-0.000014,0.000001,OK
29,0.290000,39.887302,0.000025,-0.000209,0.000000,-0.000000,-0.000016,-0.000016,0.000001,OK
30,0.300000,39.880167,0.000028,-0.000219,0.000000,-0.000000,-0.000017,-0.000017,0.000001,OK
31,0.310000,39.872767,0.000029,-0.000234,0.000000,-0.000000,-0.000018,-0.000018,0.000002,OK
32,0.320000,39.865134,0.000030,-0.000253,0.000000,-0.000000,-0.000019,-0.000019,0.000002,OK
33,0.330000,39.857310,0.000031,-0.000275,0.000000,-0.000000,-0.000020,-0.000020,0.000002,OK
34,0.340000,39.849336,0.000031,-0.000297,0.000000,-0.000000,-0.000020,-0.000020,0.000003,OK
35,0.350000,39.841247,0.000031,-0.000317,0.000000,-0.000000,-0.000020,-0.000020,0.000003,OK
36,0.360000,39.833069,0.000031,-0.000330,0.000000,-0.000000,-0.000020,-0.000020,0.000003,OK
37,0.370000,39.824812,0.000031,-0.000338,0.000000,-0.000000,-0.000021,-0.000021,0.000004,OK
38,0.380000,39.816472,0.000031,-0.000338,0.000000,-0.000000,-0.000021,-0.000021,0.000004,OK
39,0.390000,39.808039,0.000032,-0.000332,0.000000,-0.000000,-0.000021,-0.000021,0.000004,OK
40,0.400000,39.799495,0.000032,-0.000321,0.000000,-0.000001,-0.000022,-0.000022,0.000005,OK
41,0.410000,39.790826,0.000033,-0.000309,0.000000,-0.000001,-0.000022,-0.000022,0.000005,OK
42,0.420000,39.782022,0.000034,-0.000297,0.000000,-0.000001,-0.000023,-0.000023,0.000005,OK
43,0.430000,39.773081,0.000034,-0.000287,0.000000,-0.000001,-0.000023,-0.000023,0.000006,OK
44,0.440000,39.764007,0.000035,-0.000280,0.000000,-0.000001,-0.000024,-0.000024,0.000006,OK
45,0.450000,39.754810,0.000036,-0.000277,0.000000,-0.000001,-0.000025,-0.000025,0.000006,OK
46,0.460000,39.745507,0.000036,-0.000278,0.000000,-0.000001,-0.000025,-0.000025,0.000007,OK
47,0.470000,39.736114,0.000035,-0.000281,0.000000,-0.000001,-0.000025,-0.000025,0.000007,OK
48,0.480000,39.726648,0.000034,-0.000287,0.000000,-0.000001,-0.000024,-0.000024,0.000007,OK
49,0.490000,39.717125,0.000033,-0.000293,0.000000,-0.000001,-0.000023,-0.000023,0.000008,OK
50,0.500000,39.707563,0.000031,-0.000297,0.000000,-0.000001,-0.000023,-0.000023,0.000008,OK
51,0.510000,39.697973,0.000029,-0.000300,0.000000,-0.000001,-0.000022,-0.000022,0.000008,OK
52,0.520000,39.688368,0.000028,-0.000300,0.000000,-0.000000,-0.000021,-0.000021,0.000009,OK
53,0.530000,39.678756,0.000026,-0.000297,0.000000,-0.000000,-0.000020,-0.000020,0.000009,OK
54,0.540000,39.669140,0.000025,-0.000290,0.000000,-0.000000,-0.000019,-0.000019,0.000009,OK
55,0.550000,39.659521,0.000024,-0.000280,0.000000,-0.000000,-0.000019,-0.000019,0.000009,OK
56,0.560000,39.649895,0.000024,-0.000267,0.000000,-0.000000,-0.000019,-0.000019,0.000010,OK
57,0.570000,39.640255,0.000024,-0.000254,0.000000,-0.000000,-0.000019,-0.000019,0.000010,OK
58,0.580000,39.630593,0.000024,-0.000240,0.000000,-0.000000,-0.000019,-0.000019,0.000010,OK
59,0.590000,39.620903,0.000024,-0.000229,0.000000,-0.000000,-0.000020,-0.000020,0.000010,OK
60,0.600000,39.611184,0.000024,-0.000220,0.000000,-0.000000,-0.000020,-0.000020,0.000010,OK
61,0.610000,39.601439,0.000024,-0.000216,0.000000,-0.000000,-0.000020,-0.000020,0.000011,OK
62,0.620000,39.591680,0.000023,-0.000215,0.000000,-0.000000,-0.000020,-0.000020,0.000011,OK
63,0.630000,39.581922,0.000023,-0.000217,0.000000,-0.000000,-0.000019,-0.000019,0.000011,OK
64,0.640000,39.572184,0.000022,-0.000221,0.000000,-0.000000,-0.000019,-0.000019,0.000011,OK
65,0.650000,39.562485,0.000020,-0.000224,0.000000,-0.000000,-0.000018,-0.000018,0.000012,OK
66,0.660000,39.552839,0.000019,-0.000227,0.000000,-0.000000,-0.000017,-0.000017,0.000012,OK
67,0.670000,39.543255,0.000017,-0.000227,0.000000,-0.000000,-0.000016,-0.000016,0.000012,OK
68,0.680000,39.533735,0.000016,-0.000223,0.000000,-0.000000,-0.000016,-0.000016,0.000012,OK
69,0.690000,39.524274,0.000015,-0.000215,0.000000,-0.000000,-0.000015,-0.000015,0.000012,OK
70,0.700000,39.514865,0.000014,-0.000205,0.000000,-0.000000,-0.000015,-0.000015,0.000012,OK
71,0.710000,39.505497,0.000014,-0.000194,0.000000,-0.000000,-0.000015,-0.000015,0.000013,OK
72,0.720000,39.496163,0.000014,-0.000182,0.000000,-0.000000,-0.000015,-0.000015,0.000013,OK
73,0.730000,39.486858,0.000014,-0.000171,0.000000,-0.000000,-0.000015,-0.000015,0.000013,OK
74,0.740000,39.477585,0.000014,-0.000163,0.000000,-0.000000,-0.000015,-0.000015,0.000013,OK
75,0.750000,39.468350,0.000014,-0.000157,0.000000,-0.000000,-0.000015,-0.000015,0.000013,OK
76,0.760000,39.459163,0.000014,-0.000154,0.000000,-0.000000,-0.000015,-0.000015,0.000013,OK
77,0.770000,39.450034,0.000014,-0.000153,0.000000,-0.000000,-0.000015,-0.000015,0.000013,OK
78,0.780000,39.440974,0.000014,-0.000153,0.000000,-0.000000,-0.000015,-0.000015,0.000014,OK
79,0.790000,39.431992,0.000013,-0.000154,0.000000,-0.000000,-0.000015,-0.000015,0.000014,OK
80,0.800000,39.423092,0.000012,-0.000154,0.000000,-0.000000,-0.000014,-0.000014,0.000014,OK
81,0.810000,39.414277,0.000011,-0.000153,0.000000,-0.000000,-0.000014,-0.000014,0.000014,OK
82,0.820000,39.405546,0.000010,-0.000150,0.000000,-0.000000,-0.000013,-0.000013,0.000014,OK
83,0.830000,39.396898,0.000009,-0.000145,0.000000,-0.000000,-0.000013,-0.000013,0.000014,OK
84,0.840000,39.388330,0.000008,-0.000139,0.000000,-0.000000,-0.000012,-0.000012,0.000014,OK
85,0.850000,39.379841,0.000008,-0.000132,0.000000,-0.000000,-0.000012,-0.000012,0.000014,OK
86,0.860000,39.371429,0.000007,-0.000124,0.000000,-0.000000,-0.000012,-0.000012,0.000014,OK
87,0.870000,39.363097,0.000007,-0.000116,0.000000,-0.000000,-0.000011,-0.000011,0.000014,OK
88,0.880000,39.354843,0.000007,-0.000108,0.000000,-0.000000,-0.000011,-0.000011,0.000014,OK
89,0.890000,39.346669,0.000007,-0.000101,0.000000,-0.000000,-0.000012,-0.000012,0.000015,OK
90,0.900000,39.338576,0.000007,-0.000095,0.000000,-0.000000,-0.000012,-0.000012,0.000015,OK
91,0.910000,39.330565,0.000007,-0.000091,0.000000,-0.000000,-0.000012,-0.000012,0.000015,OK
92,0.920000,39.322640,0.000007,-0.000087,0.000000,-0.000000,-0.000012,-0.000012,0.000015,OK
