step_id,sim_time_s,Vx_kmh,beta_deg,w_degps,delta1_deg,delta2_deg,delta3_deg,fb_deg,beta_int_deg,status
0,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,OK
1,0.010000,19.998775,0.000001,-0.000383,0.000000,-0.000000,-0.000000,-0.000000,0.000000,OK
2,0.020000,19.996160,-0.000000,-0.000064,0.000000,0.000000,0.000000,0.000000,0.000000,OK
3,0.030000,19.993350,-0.000005,0.000233,0.000000,0.000000,0.000003,0.000003,-0.000000,OK
4,0.040000,19.990585,-0.000007,0.000043,0.000000,0.000000,0.000004,0.000004,-0.000000,OK
5,0.050000,19.987911,-0.000005,-0.000064,0.000000,0.000000,0.000003,0.000003,-0.000000,OK
6,0.060000,19.985353,-0.000003,-0.000063,0.000000,0.000000,0.000002,0.000002,-0.000000,OK
7,0.070000,19.982935,-0.000003,-0.000047,0.000000,0.000000,0.000002,0.000002,-0.000000,OK
8,0.080000,19.980638,-0.000003,-0.000011,0.000000,0.000000,0.000002,0.000002,-0.000000,OK
9,0.090000,19.978407,-0.000004,0.000065,0.000000,0.000000,0.000003,0.000003,-0.000000,OK
10,0.100000,19.976177,-0.000006,0.000164,0.000000,0.000000,0.000004,0.000004,-0.000000,OK
11,0.110000,19.973893,-0.000007,0.000258,0.000000,0.000000,0.000004,0.000004,-0.000000,OK
12,0.120000,19.971513,-0.000007,0.000328,0.000000,0.000000,0.000004,0.000004,-0.000000,OK
13,0.130000,19.969013,-0.000006,0.000365,0.000000,0.000000,0.000004,0.000004,-0.000001,OK
14,0.140000,19.966388,-0.000004,0.000365,0.000000,0.000000,0.000003,0.000003,-0.000001,OK
15,0.150000,19.963648,-0.000002,0.000331,0.000000,0.000000,0.000002,0.000002,-0.000001,OK
16,0.160000,19.960821,-0.000001,0.000269,0.000000,0.000000,0.000001,0.000001,-0.000001,OK
17,0.170000,19.957946,-0.000002,0.000186,0.000000,0.000000,0.000002,0.000002,-0.000001,OK
18,0.180000,19.955066,-0.000006,0.000095,0.000000,0.000000,0.000004,0.000004,-0.000001,OK
19,0.190000,19.952226,-0.000011,0.000007,0.000000,0.000000,0.000007,0.000007,-0.000001,OK
20,0.200000,19.949466,-0.000019,-0.000066,0.000000,0.000000,0.000012,0.000012,-0.000001,OK
21,0.210000,19.946807,-0.000027,-0.000113,0.000000,0.000000,0.000017,0.000017,-0.000001,OK
22,0.220000,19.944259,-0.000034,-0.000129,0.000000,0.000001,0.000021,0.000021,-0.000002,OK
23,0.230000,19.941808,-0.000040,-0.000114,0.000000,0.000001,0.000025,0.000025,-0.000002,OK
24,0.240000,19.939428,-0.000041,-0.000072,0.000000,0.000001,0.000026,0.000026,-0.000002,OK
25,0.250000,19.937078,-0.000038,-0.000013,0.000000,0.000001,0.000024,0.000024,-0.000003,OK
26,0.260000,19.934715,-0.000030,0.000053,0.000000,0.000000,0.000020,0.000020,-0.000003,OK
27,0.270000,19.932298,-0.000018,0.000113,0.000000,0.000000,0.000013,0.000013,-0.000003,OK
28,0.280000,19.929795,-0.000003,0.000157,0.000000,0.000000,0.000003,0.000003,-0.000003,OK
29,0.290000,19.927191,0.000013,0.000175,0.000000,-0.000000,-0.000006,-0.000006,-0.000003,OK
30,0.300000,19.924490,0.000028,0.000164,0.000000,-0.000000,-0.000016,-0.000016,-0.000003,OK
31,0.310000,19.921714,0.000040,0.000124,0.000000,-0.000001,-0.000023,-0.000023,-0.000003,OK
32,0.320000,19.918898,0.000047,0.000061,0.000000,-0.000001,-0.000027,-0.000027,-0.000002,OK
33,0.330000,19.916084,0.000047,-0.000012,0.000000,-0.000001,-0.000027,-0.000027,-0.000002,OK
34,0.340000,19.913310,0.000041,-0.000085,0.000000,-0.000001,-0.000024,-0.000024,-0.000001,OK
35,0.350000,19.910607,0.000030,-0.000142,0.000000,-0.000000,-0.000017,-0.000017,-0.000001,OK
36,0.360000,19.907986,0.000015,-0.000175,0.000000,-0.000000,-0.000009,-0.000009,-0.000001,OK
37,0.370000,19.905443,-0.000001,-0.000180,0.000000,0.000000,0.000001,0.000001,-0.000001,OK
38,0.380000,19.902958,-0.000015,-0.000156,0.000000,0.000000,0.000009,0.000009,-0.000001,OK
39,0.390000,19.900502,-0.000025,-0.000113,0.000000,0.000000,0.000016,0.000016,-0.000001,OK
