sample_index,run_number,timestamp_local_iso8601,sim_time_s,state_vehicle_speed_kmh,state_beta_trucksim_deg,state_yaw_rate_trucksim_degps,state_x_m,state_y_m,state_xt_m,state_yt_m,cmd_delta1_deg,cmd_delta2_deg,cmd_delta3_deg,case_id,case_name
1,2026年09月08日_20时58分57秒_第003次,2026-09-08T20:58:57,0,20,0,0,-1.05819009496492,0,0,0,0,0,-0,MV-201,step_steer_python
2,2026年09月08日_20时58分57秒_第003次,2026-09-08T20:58:57,0.001,20,0,0,-1.05819009496492,0,0,0,0,-1.11406392944625e-08,-4.71471854941651e-07,MV-201,step_steer_python
3,2026年09月08日_20时58分57秒_第003次,2026-09-08T20:58:57,0.002,20,0,-3.9975079965144e-20,-1.05263453940937,0,0.00555555555555555,0,0,1.12687922151321e-10,4.76895286544391e-09,MV-201,step_steer_python
4,2026年09月08日_20时58分57秒_第003次,2026-09-08T20:58:57,0.003,19.9999528142658,1.52838517226712e-10,3.41889238736186e-05,-1.04707877935002,-5.19404407734787e-24,0.0111121130342503,0,0,7.42316664773854e-08,3.14148412532295e-06,MV-201,step_steer_python
5,2026年09月08日_20时58分57秒_第003次,2026-09-08T20:58:57,0.004,19.9998614911147,-5.1327321020367e-08,1.12100148534391e-05,-1.04152299345948,-1.24780546725793e-09,0.0166688733058894,0,0,9.51607651241393e-08,4.02720358005357e-06,MV-201,step_steer_python
6,2026年09月08日_20时58分57秒_第003次,2026-09-08T20:58:57,0.005,19.9997361100957,-3.65663144431534e-08,-3.64846232777881e-05,-1.0359672027298,-1.04697082921148e-09,0.0222257798609156,0,0,7.26270009711016e-08,3.07357468109702e-06,MV-201,step_steer_python
7,2026年09月08日_20时58分57秒_第003次,2026-09-08T20:58:57,0.006,19.9995826316477,2.99947622948885e-08,-0.000103235912924687,-1.03041143460843,4.16530988350805e-10,0.0277827296810108,0,0,4.9265836962745e-08,2.08493022026337e-06,MV-201,step_steer_python
8,2026年09月08日_20时58分57秒_第003次,2026-09-08T20:58:57,0.007,19.9994061229409,1.56480067628764e-07,-0.000180440020796719,-1.02485571050126,3.54132534823792e-09,0.0333396451698267,0,0,3.90978088995733e-08,1.65461927262994e-06,MV-201,step_steer_python
9,2026年09月08日_20时58分57秒_第003次,2026-09-08T20:58:57,0.008,19.9992106660338,3.35397054630616e-07,-0.000258108254718125,-1.01930004619994,8.37203127227641e-09,0.0388964712447299,0,0,4.39284438459554e-08,1.85905174356083e-06,MV-201,step_steer_python
10,2026年09月08日_20时58分57秒_第003次,2026-09-08T20:58:57,0.009,19.9989995361609,5.50220486107676e-07,-0.000327868940152614,-1.0137444530662,1.47504148026864e-08,0.0444531706405005,0,0,6.1758185541622e-08,2.61360641212144e-06,MV-201,step_steer_python
11,2026年09月08日_20时58分57秒_第003次,2026-09-08T20:58:57,0.01,19.9987753884564,7.79292322217605e-07,-0.00038341186795231,-1.00818893881483,2.23793050838506e-08,0.0500097208442244,0,0,8.48988891819843e-08,3.59292099018158e-06,MV-201,step_steer_python
12,2026年09月08日_20时58分57秒_第003次,2026-09-08T20:58:57,0.011,19.998540403249,9.98754446541777e-07,-0.000420623372959635,-1.00263350823313,3.08638414236931e-08,0.0555661111355128,0,0,1.02139966464564e-07,4.32256338078035e-06,MV-201,step_steer_python
13,2026年09月08日_20时58分57秒_第003次,2026-09-08T20:58:57,0.012,19.9982963931715,1.18526988370555e-06,-0.000437588054076827,-0.997078163806974,3.9766561871935e-08,0.0611223399513306,0,0,1.04719025509133e-07,4.43170915954651e-06,MV-201,step_steer_python
14,2026年09月08日_20时58分57秒_第003次,2026-09-08T20:58:57,0.013,19.9980448790326,1.31816194386956e-06,-0.000434299639207357,-0.991522906261065,4.86493638483448e-08,0.0666784125779617,0,0,9.06923674001196e-08,3.83810098837306e-06,MV-201,step_steer_python
15,2026年09月08日_20时58分57秒_第003次,2026-09-08T20:58:57,0.014,19.9977871433902,1.38088209560673e-06,-0.000412283221246481,-0.985967735020063,5.71077182428227e-08,0.0722343391665179,0,0,6.55268065832113e-08,2.7730944546015e-06,MV-201,step_steer_python
16,2026年09月08日_20时58分57秒_第003次,2026-09-08T20:58:57,0.015,19.9975242695026,1.36185037691452e-06,-0.000374172731764871,-0.980412648596919,6.47946514622333e-08,0.0777901330603537,0,0,4.02087792052822e-08,1.70163553596754e-06,MV-201,step_steer_python
17,2026年09月08日_20时58分57秒_第003次,2026-09-08T20:58:57,0.016,19.9972571712593,1.25474452000695e-06,-0.000323296648211736,-0.974857644914526,7.14353783368787e-08,0.0833458094155413,0,0,2.8109212257555e-08,1.18958186273973e-06,MV-201,step_steer_python
18,2026年09月08日_20时58分57秒_第003次,2026-09-08T20:58:57,0.017,19.9969866177069,1.05833954911673e-06,-0.000263306657832679,-0.969302721566867,7.68337458734761e-08,0.0889013840906888,0,0,4.14434793152508e-08,1.75388804462141e-06,MV-201,step_steer_python
19,2026年09月08日_20时58分57秒_第003次,2026-09-08T20:58:57,0.018,19.9967132542403,7.76012699353241e-07,-0.000197868286445031,-0.963747876025876,8.08719840884654e-08,0.094456872779254,0,0,8.79978648572847e-08,3.72406964076029e-06,MV-201,step_steer_python
20,2026年09月08日_20时58分57秒_第003次,2026-09-08T20:58:57,0.019,19.9964376214654,4.15024631564005e-07,-0.000130421934328899,-0.95819310580029,8.35054059487174e-08,0.100012290355861,0,0,1.68647139002806e-07,7.13714692259877e-06,MV-201,step_steer_python
21,2026年09月08日_20时58分57秒_第003次,2026-09-08T20:58:57,0.02,19.9961601721059,-1.43229991347635e-08,-6.4014201992825e-05,-0.952638408552781,8.47536230911371e-08,0.105567650407717,0,0,2.76168326107933e-07,1.16874435608877e-05,MV-201,step_steer_python
22,2026年09月08日_20时58分57秒_第003次,2026-09-08T20:58:57,0.021,19.9958812860191,-4.9956955430332e-07,-1.19371252408317e-06,-0.947083782181514,8.46896833135883e-08,0.111122964922848,0,0,3.95655384614197e-07,1.67441358768728e-05,MV-201,step_steer_python
23,2026年09月08日_20时58分57秒_第003次,2026-09-08T20:58:57,0.022,19.9956012832865,-1.02695104973404e-06,5.60377745249026e-05,-0.941529224872014,8.3428310140914e-08,0.116678244108244,0,0,5.06536647403328e-07,2.14366309181089e-05,MV-201,step_steer_python
24,2026年09月08日_20时58分57秒_第003次,2026-09-08T20:58:57,0.023,19.9953204353643,-1.58218154666645e-06,0.000106229751031668,-0.935974735124869,8.11141771340243e-08,0.122233496313014,0,0,5.86115041594102e-07,2.48043885602624e-05,MV-201,step_steer_python
25,2026年09月08日_20时58分57秒_第003次,2026-09-08T20:58:57,0.024,19.9950389866381,-2.15112909241592e-06,0.000148627647121627,-0.930420311764295,7.79109057650914e-08,0.127788728033988,0,0,6.13950336380836e-07,2.5982378235637e-05,MV-201,step_steer_python
26,2026年09月08日_20时58分57秒_第003次,2026-09-08T20:58:57,0.025,19.9947571995106,-2.7206295305898e-06,0.000182669036905245,-0.924865953926887,7.39915703249662e-08,0.133343943989187,0,0,5.76097034484941e-07,2.43804264994027e-05,MV-201,step_steer_python
27,2026年09月08日_20时58分57秒_第003次,2026-09-08T20:58:57,0.026,19.994475297617,-3.27841225036736e-06,0.000208225463655117,-0.91931166102553,6.95299521282033e-08,0.138899147251186,0,0,4.68327501224249e-07,1.98196198518102e-05,MV-201,step_steer_python
28,2026年09月08日_20时58分57秒_第003次,2026-09-08T20:58:57,0.027,19.994193477606,-3.81358455772375e-06,0.000225506965288664,-0.913757432737577,6.46957489558007e-08,0.144454339378086,0,0,2.9776727032471e-07,1.26015108801417e-05,MV-201,step_steer_python
29,2026年09月08日_20时58分57秒_第003次,2026-09-08T20:58:57,0.028,19.9939119097095,-4.3168420497571e-06,0.000234990435597941,-0.908203268976586,5.96480652800644e-08,0.150009520575003,0,0,8.26887717866885e-08,3.49938882201266e-06,MV-201,step_steer_python
30,2026年09月08日_20时58分57秒_第003次,2026-09-08T20:58:57,0.029,19.9936307383589,-4.78056644586587e-06,0.000237356026622173,-0.902649169863886,5.45318297876872e-08,0.155564689861739,0,0,-1.49737792804276e-07,-6.33690339147696e-06,MV-201,step_steer_python
31,2026年09月08日_20时58分57秒_第003次,2026-09-08T20:58:57,0.03,19.9933500834812,-5.1988578048568e-06,0.000233427526363347,-0.897095135699921,4.94750355334749e-08,0.161119845240726,0,0,-3.67434700401087e-07,-1.5549836520974e-05,MV-201,step_steer_python
32,2026年09月08日_20时58分57秒_第003次,2026-09-08T20:58:57,0.031,19.9930700423184,-5.56749739928296e-06,0.000224117684145855,-0.891541166936279,4.45871558849624e-08,0.166674983859844,0,0,-5.38536626380505e-07,-2.2790870028423e-05,MV-201,step_steer_python
33,2026年09月08日_20时58分57秒_第003次,2026-09-08T20:58:57,0.032,19.9927906916755,-5.88385710152336e-06,0.000210379960217787,-0.885987264149103,3.99585387220807e-08,0.172230102166081,0,0,-6.36924923680206e-07,-2.69546627701463e-05,MV-201,step_steer_python
34,2026年09月08日_20时58分57秒_第003次,2026-09-08T20:58:57,0.033,19.9925120904814,-6.14676813088606e-06,0.000193167542152936,-0.880433428014384,3.56606045059889e-08,0.177785196047344,0,0,-6.47116581604518e-07,-2.73859737335032e-05,MV-201,step_steer_python
35,2026年09月08日_20时58分57秒_第003次,2026-09-08T20:58:57,0.034,19.9922342825357,-6.35636135572263e-06,0.000173399780286835,-0.874879659285394,3.17466941498871e-08,0.18334026096078,0,0,-5.67450082187117e-07,-2.40144874781588e-05,MV-201,step_steer_python
36,2026年09月08日_20时58分57秒_第003次,2026-09-08T20:58:57,0.035,19.9919572993235,-6.51389009531226e-06,0.000151935952214408,-0.869325958772406,2.82534074657676e-08,0.188895292046833,0,0,-4.10861001200488e-07,-1.73876375708046e-05,MV-201,step_steer_python
37,2026年09月08日_20时58分57秒_第003次,2026-09-08T20:58:57,0.036,19.9916811627865,-6.62154493580042e-06,0.000129555953840316,-0.863772327324716,2.52022882378094e-08,0.194450284228916,0,0,-2.03145164481416e-07,-8.59710336085351e-06,MV-201,step_steer_python
38,2026年09月08日_20时58分57秒_第003次,2026-09-08T20:58:57,0.037,19.9914058879582,-6.68226855443792e-06,0.000106947323333554,-0.858218765814914,2.26017264768598e-08,0.200005232299119,0,0,2.08802787552198e-08,8.83653396920904e-07,MV-201,step_steer_python
