step_id,sim_time_s,Vx_kmh,beta_deg,w_degps,delta1_deg,delta2_deg,delta3_deg,fb_deg,beta_int_deg,status
0,0.000000,40.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,OK
1,0.010000,39.999011,0.000000,-0.000056,0.000000,-0.000000,-0.000000,-0.000000,0.000000,OK
2,0.020000,39.997031,0.000001,-0.000076,0.000000,-0.000000,-0.000000,-0.000000,0.000000,OK
3,0.030000,39.994619,0.000000,0.000042,0.000000,-0.000000,-0.000000,-0.000000,0.000000,OK
4,0.040000,39.991957,-0.000000,0.000060,0.000000,0.000000,0.000000,0.000000,0.000000,OK
5,0.050000,39.989215,-0.000001,0.000048,0.000000,0.000000,0.000000,0.000000,-0.000000,OK
6,0.060000,39.986464,-0.000001,0.000047,0.000000,0.000000,0.000000,0.000000,-0.000000,OK
7,0.070000,39.983705,-0.000000,0.000057,0.000000,0.000000,0.000000,0.000000,-0.000000,OK
8,0.080000,39.980905,-0.000000,0.000071,0.000000,0.000000,0.000000,0.000000,-0.000000,OK
9,0.090000,39.978010,-0.000000,0.000085,0.000000,0.000000,0.000000,0.000000,-0.000000,OK
10,0.100000,39.974966,-0.000000,0.000095,0.000000,0.000000,0.000000,0.000000,-0.000000,OK
11,0.110000,39.971721,-0.000001,0.000100,0.000000,0.000000,0.000000,0.000000,-0.000000,OK
12,0.120000,39.968234,-0.000001,0.000097,0.000000,0.000000,0.000001,0.000001,-0.000000,OK
13,0.130000,39.964476,-0.000001,0.000085,0.000000,0.000000,0.000001,0.000001,-0.000000,OK
14,0.140000,39.960431,-0.000002,0.000067,0.000000,0.000000,0.000001,0.000001,-0.000000,OK
15,0.150000,39.956093,-0.000002,0.000042,0.000000,0.000000,0.000001,0.000001,-0.000000,OK
16,0.160000,39.951464,-0.000002,0.000014,0.000000,0.000000,0.000001,0.000001,-0.000000,OK
17,0.170000,39.946559,-0.000002,-0.000018,0.000000,0.000000,0.000001,0.000001,-0.000000,OK
18,0.180000,39.941399,-0.000002,-0.000051,0.000000,0.000000,0.000001,0.000001,-0.000000,OK
19,0.190000,39.936012,-0.000001,-0.000084,0.000000,0.000000,0.000000,0.000000,-0.000000,OK
20,0.200000,39.930432,0.000001,-0.000114,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,OK
21,0.210000,39.924684,0.000003,-0.000142,0.000000,-0.000000,-0.000001,-0.000001,-0.000000,OK
22,0.220000,39.918790,0.000005,-0.000164,0.000000,-0.000000,-0.000003,-0.000003,-0.000000,OK
23,0.230000,39.912756,0.000008,-0.000182,0.000000,-0.000000,-0.000005,-0.000005,0.000000,OK
24,0.240000,39.906573,0.000011,-0.000193,0.000000,-0.000000,-0.000006,-0.000006,0.000000,OK
25,0.250000,39.900220,0.000014,-0.000199,0.000000,-0.000000,-0.000008,-0.000008,0.000000,OK
26,0.260000,39.893669,0.000017,-0.000201,0.000000,-0.000000,-0.000010,-0.000010,0.000000,OK
27,0.270000,39.886888,0.000020,-0.000203,0.000000,-0.000000,-0.000012,-0.000012,0.000001,OK
28,0.280000,39.879849,0.000023,-0.000205,0.000000,-0.000000,-0.000014,-0.000014,0.000001,OK
29,0.290000,39.872537,0.000025,-0.000210,0.000000,-0.000000,-0.000016,-0.000016,0.000001,OK
30,0.300000,39.864954,0.000027,-0.000220,0.000000,-0.000000,-0.000017,-0.000017,0.000001,OK
31,0.310000,39.857115,0.000029,-0.000235,0.000000,-0.000000,-0.000018,-0.000018,0.000002,OK
32,0.320000,39.849053,0.000030,-0.000254,0.000000,-0.000000,-0.000019,-0.000019,0.000002,OK
33,0.330000,39.840808,0.000031,-0.000276,0.000000,-0.000000,-0.000019,-0.000019,0.000002,OK
34,0.340000,39.832421,0.000031,-0.000298,0.000000,-0.000000,-0.000020,-0.000020,0.000003,OK
35,0.350000,39.823925,0.000031,-0.000317,0.000000,-0.000000,-0.000020,-0.000020,0.000003,OK
36,0.360000,39.815344,0.000031,-0.000330,0.000000,-0.000000,-0.000020,-0.000020,0.000003,OK
37,0.370000,39.806687,0.000031,-0.000337,0.000000,-0.000000,-0.000020,-0.000020,0.000003,OK
38,0.380000,39.797951,0.000031,-0.000336,0.000000,-0.000000,-0.000021,-0.000021,0.000004,OK
39,0.390000,39.789124,0.000031,-0.000330,0.000000,-0.000000,-0.000021,-0.000021,0.000004,OK
40,0.400000,39.780192,0.000032,-0.000320,0.000000,-0.000001,-0.000021,-0.000021,0.000004,OK
41,0.410000,39.771139,0.000033,-0.000308,0.000000,-0.000001,-0.000022,-0.000022,0.000005,OK
42,0.420000,39.761958,0.000033,-0.000296,0.000000,-0.000001,-0.000023,-0.000023,0.000005,OK
43,0.430000,39.752646,0.000034,-0.000286,0.000000,-0.000001,-0.000023,-0.000023,0.000005,OK
44,0.440000,39.743210,0.000035,-0.000279,0.000000,-0.000001,-0.000024,-0.000024,0.000006,OK
45,0.450000,39.733658,0.000035,-0.000277,0.000000,-0.000001,-0.000024,-0.000024,0.000006,OK
46,0.460000,39.724007,0.000035,-0.000277,0.000000,-0.000001,-0.000024,-0.000024,0.000007,OK
47,0.470000,39.714273,0.000035,-0.000281,0.000000,-0.000001,-0.000024,-0.000024,0.000007,OK
48,0.480000,39.704471,0.000034,-0.000286,0.000000,-0.000001,-0.000024,-0.000024,0.000007,OK
49,0.490000,39.694619,0.000032,-0.000291,0.000000,-0.000001,-0.000023,-0.000023,0.000008,OK
50,0.500000,39.684730,0.000031,-0.000295,0.000000,-0.000001,-0.000022,-0.000022,0.000008,OK
51,0.510000,39.674819,0.000029,-0.000298,0.000000,-0.000001,-0.000021,-0.000021,0.000008,OK
52,0.520000,39.664897,0.000027,-0.000297,0.000000,-0.000000,-0.000020,-0.000020,0.000008,OK
53,0.530000,39.654972,0.000026,-0.000293,0.000000,-0.000000,-0.000020,-0.000020,0.000009,OK
54,0.540000,39.645047,0.000024,-0.000285,0.000000,-0.000000,-0.000019,-0.000019,0.000009,OK
55,0.550000,39.635124,0.000024,-0.000275,0.000000,-0.000000,-0.000019,-0.000019,0.000009,OK
56,0.560000,39.625198,0.000023,-0.000262,0.000000,-0.000000,-0.000019,-0.000019,0.000009,OK
57,0.570000,39.615263,0.000023,-0.000248,0.000000,-0.000000,-0.000019,-0.000019,0.000010,OK
58,0.580000,39.605311,0.000023,-0.000235,0.000000,-0.000000,-0.000019,-0.000019,0.000010,OK
59,0.590000,39.595336,0.000023,-0.000223,0.000000,-0.000000,-0.000019,-0.000019,0.000010,OK
60,0.600000,39.585337,0.000023,-0.000215,0.000000,-0.000000,-0.000019,-0.000019,0.000010,OK
61,0.610000,39.575318,0.000023,-0.000210,0.000000,-0.000000,-0.000019,-0.000019,0.000011,OK
62,0.620000,39.565290,0.000023,-0.000208,0.000000,-0.000000,-0.000019,-0.000019,0.000011,OK
63,0.630000,39.555270,0.000022,-0.000210,0.000000,-0.000000,-0.000019,-0.000019,0.000011,OK
64,0.640000,39.545274,0.000021,-0.000213,0.000000,-0.000000,-0.000018,-0.000018,0.000011,OK
65,0.650000,39.535322,0.000019,-0.000216,0.000000,-0.000000,-0.000017,-0.000017,0.000011,OK
66,0.660000,39.525428,0.000018,-0.000218,0.000000,-0.000000,-0.000017,-0.000017,0.000012,OK
67,0.670000,39.515599,0.000017,-0.000217,0.000000,-0.000000,-0.000016,-0.000016,0.000012,OK
68,0.680000,39.505837,0.000015,-0.000213,0.000000,-0.000000,-0.000015,-0.000015,0.000012,OK
69,0.690000,39.496137,0.000014,-0.000205,0.000000,-0.000000,-0.000015,-0.000015,0.000012,OK
70,0.700000,39.486492,0.000013,-0.000194,0.000000,-0.000000,-0.000014,-0.000014,0.000012,OK
71,0.710000,39.476891,0.000013,-0.000182,0.000000,-0.000000,-0.000014,-0.000014,0.000012,OK
72,0.720000,39.467329,0.000013,-0.000170,0.000000,-0.000000,-0.000014,-0.000014,0.000012,OK
73,0.730000,39.457801,0.000013,-0.000160,0.000000,-0.000000,-0.000014,-0.000014,0.000013,OK
74,0.740000,39.448309,0.000013,-0.000151,0.000000,-0.000000,-0.000014,-0.000014,0.000013,OK
75,0.750000,39.438860,0.000013,-0.000145,0.000000,-0.000000,-0.000014,-0.000014,0.000013,OK
76,0.760000,39.429464,0.000013,-0.000141,0.000000,-0.000000,-0.000014,-0.000014,0.000013,OK
77,0.770000,39.420131,0.000013,-0.000140,0.000000,-0.000000,-0.000014,-0.000014,0.000013,OK
78,0.780000,39.410871,0.000013,-0.000140,0.000000,-0.000000,-0.000014,-0.000014,0.000013,OK
79,0.790000,39.401693,0.000012,-0.000140,0.000000,-0.000000,-0.000014,-0.000014,0.000013,OK
80,0.800000,39.392600,0.000011,-0.000140,0.000000,-0.000000,-0.000013,-0.000013,0.000013,OK
81,0.810000,39.383594,0.000010,-0.000138,0.000000,-0.000000,-0.000013,-0.000013,0.000013,OK
82,0.820000,39.374676,0.000009,-0.000135,0.000000,-0.000000,-0.000012,-0.000012,0.000014,OK
83,0.830000,39.365843,0.000008,-0.000130,0.000000,-0.000000,-0.000012,-0.000012,0.000014,OK
84,0.840000,39.357093,0.000007,-0.000123,0.000000,-0.000000,-0.000011,-0.000011,0.000014,OK
85,0.850000,39.348426,0.000006,-0.000116,0.000000,-0.000000,-0.000011,-0.000011,0.000014,OK
86,0.860000,39.339840,0.000006,-0.000107,0.000000,-0.000000,-0.000010,-0.000010,0.000014,OK
87,0.870000,39.331336,0.000006,-0.000099,0.000000,-0.000000,-0.000010,-0.000010,0.000014,OK
88,0.880000,39.322914,0.000006,-0.000091,0.000000,-0.000000,-0.000010,-0.000010,0.000014,OK
89,0.890000,39.314575,0.000006,-0.000084,0.000000,-0.000000,-0.000010,-0.000010,0.000014,OK
90,0.900000,39.306321,0.000006,-0.000078,0.000000,-0.000000,-0.000010,-0.000010,0.000014,OK
91,0.910000,39.298153,0.000006,-0.000073,0.000000,-0.000000,-0.000010,-0.000010,0.000014,OK
92,0.920000,39.290073,0.000006,-0.000069,0.000000,-0.000000,-0.000010,-0.000010,0.000014,OK
93,0.930000,39.282084,0.000005,-0.000066,0.000000,-0.000000,-0.000010,-0.000010,0.000014,OK
94,0.940000,39.274189,0.000005,-0.000064,0.000000,-0.000000,-0.000010,-0.000010,0.000014,OK
95,0.950000,39.266392,0.000004,-0.000062,0.000000,-0.000000,-0.000010,-0.000010,0.000014,OK
96,0.960000,39.258696,0.000003,-0.000060,0.000000,-0.000000,-0.000009,-0.000009,0.000014,OK
97,0.970000,39.251105,0.000002,-0.000056,0.000000,-0.000000,-0.000009,-0.000009,0.000014,OK
98,0.980000,39.243620,0.000001,-0.000052,0.000000,-0.000000,-0.000008,-0.000008,0.000014,OK
99,0.990000,39.236239,0.000001,-0.000047,0.000000,-0.000000,-0.000008,-0.000008,0.000014,OK
100,1.000000,39.228962,0.000000,-0.000040,0.000000,-0.000000,-0.000007,-0.000007,0.000014,OK
101,1.010000,39.221784,-0.000000,-0.000033,0.025132,0.000594,0.005005,-0.000007,0.000014,OK
102,1.020000,39.214703,0.000107,0.000710,0.050260,0.001186,0.009944,-0.000072,0.000015,OK
103,1.030000,39.207715,0.000531,0.003659,0.075380,0.001773,0.014683,-0.000329,0.000021,OK
104,1.040000,39.200820,0.001411,0.009874,0.100489,0.002354,0.019135,-0.000864,0.000035,OK
105,1.050000,39.194018,0.002832,0.020122,0.125581,0.002927,0.023246,-0.001731,0.000063,OK
106,1.060000,39.187310,0.004832,0.034972,0.150654,0.003490,0.026989,-0.002955,0.000112,OK
107,1.070000,39.180699,0.007407,0.054823,0.175702,0.004045,0.030364,-0.004537,0.000186,OK
108,1.080000,39.174190,0.010524,0.079942,0.200723,0.004590,0.033386,-0.006460,0.000291,OK
109,1.090000,39.167784,0.014125,0.110487,0.225713,0.005128,0.036088,-0.008691,0.000432,OK
110,1.100000,39.161484,0.018138,0.146538,0.250666,0.005659,0.038511,-0.011189,0.000613,OK
111,1.110000,39.155289,0.022480,0.188112,0.275581,0.006183,0.040700,-0.013907,0.000838,OK
112,1.120000,39.149199,0.027065,0.235179,0.300451,0.006703,0.042707,-0.016793,0.001109,OK
113,1.130000,39.143210,0.031806,0.287663,0.325274,0.007218,0.044582,-0.019797,0.001427,OK
114,1.140000,39.137319,0.036618,0.345443,0.350046,0.007731,0.046376,-0.022867,0.001793,OK
115,1.150000,39.131524,0.041418,0.408348,0.374763,0.008242,0.048136,-0.025954,0.002207,OK
116,1.160000,39.125821,0.046129,0.476158,0.399420,0.008753,0.049911,-0.029011,0.002669,OK
117,1.170000,39.120211,0.050677,0.548603,0.424014,0.009263,0.051743,-0.031994,0.003175,OK
118,1.180000,39.114692,0.055000,0.625376,0.448542,0.009775,0.053670,-0.034863,0.003725,OK
119,1.190000,39.109266,0.059043,0.706149,0.472998,0.010289,0.055728,-0.037584,0.004316,OK
120,1.200000,39.103934,0.062764,0.790584,0.497380,0.010805,0.057941,-0.040130,0.004943,OK
121,1.210000,39.098696,0.066132,0.878356,0.521683,0.011323,0.060329,-0.042482,0.005605,OK
122,1.220000,39.093553,0.069133,0.969155,0.545904,0.011845,0.062903,-0.044628,0.006296,OK
123,1.230000,39.088504,0.071763,1.062695,0.570039,0.012369,0.065665,-0.046565,0.007014,OK
124,1.240000,39.083549,0.074030,1.158703,0.594083,0.012897,0.068613,-0.048295,0.007754,OK
125,1.250000,39.078686,0.075952,1.256915,0.618034,0.013426,0.071736,-0.049828,0.008514,OK
126,1.260000,39.073914,0.077551,1.357067,0.641887,0.013958,0.075022,-0.051175,0.009289,OK
127,1.270000,39.069232,0.078854,1.458888,0.665639,0.014492,0.078456,-0.052351,0.010078,OK
128,1.280000,39.064639,0.079892,1.562101,0.689286,0.015026,0.082021,-0.053373,0.010877,OK
