sample_index,run_number,timestamp_local_iso8601,sim_time_s,state_vehicle_speed_kmh,state_beta_3dof_deg,state_yaw_rate_3dof_degps,state_y_3dof_m,state_steer_delta_deg,state_x_m,state_y_m,state_xt_m,state_yt_m,state_beta_trucksim_deg,state_yaw_rate_trucksim_degps,case_id,case_name
1,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0,40,0,0,0,-1.90209012605692,-1.05819009496492,0,0,0,0,0,MV-002,sine_steer_40kmh
2,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,1.11449240642192e-15,40,-4.12011392825899e-15,-6.09447603633727e-14,-4.45236956463749e-31,-1.90209012605692,-1.05819009496492,0,0,0,0,0,MV-002,sine_steer_40kmh
3,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,1.11449240642194e-15,40,-4.12011392825907e-15,-6.0944760363374e-14,-4.45236956463766e-31,-1.90209012605692,-1.05816231718715,0,2.77777777777778e-05,0,-1.44281042162838e-05,-0.0526631481548045,MV-002,sine_steer_40kmh
4,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.00014149229299902,39.999835385309,-0.000522487483838105,-0.0076700215669462,-7.1758991273791e-09,-1.90198019750036,-1.04150933508811,-1.6771515703138e-06,0.0166815570892852,0,4.04398352706038e-05,-0.0478135512651897,MV-002,sine_steer_40kmh
5,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.000848953757988547,39.9990406659228,-0.00311761218664304,-0.0440970657182597,-2.58246026627995e-07,-1.90142965289017,-1.03039791646072,-2.54470732915583e-06,0.02779395538352,0,-0.000292257040004326,-0.053507990736696,MV-002,sine_steer_40kmh
6,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.001,39.998876754648,-0.0036680299208672,-0.0514827443054291,-3.58287503258147e-07,-1.90131191442615,-1.01928647842973,-3.73364632286893e-06,0.0389065169810396,0,-0.00072652811510876,-0.0517610601539793,MV-002,sine_steer_40kmh
7,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.00175523121005727,39.9980848206448,-0.00640151027935251,-0.0865296652834632,-1.10335756325455e-06,-1.90072219474593,-1.00817503374603,-4.8134730721161e-06,0.0500191546560901,0,-0.00131976377927043,-0.0511194460966497,MV-002,sine_steer_40kmh
8,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.002,39.9978373775787,-0.007280930522556,-0.0972591387806916,-1.43232974483252e-06,-1.90053070054144,-0.997063605757506,-5.93803915525539e-06,0.0611317889051899,0,-0.00206771897410037,-0.0522432876452953,MV-002,sine_steer_40kmh
9,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.003,39.9968680784995,-0.0108420610914421,-0.138246352871783,-3.22061197378672e-06,-1.89974648563636,-0.985952211237766,-7.14209959908723e-06,0.0722443636473009,0,-0.00296757026180767,-0.055868987406584,MV-002,sine_steer_40kmh
10,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.004,39.9959573740321,-0.0143542931343585,-0.175214393610817,-5.72129729827057e-06,-1.89895927094922,-0.974840862880413,-8.48108309105302e-06,0.0833568401736774,0,-0.00401564729091859,-0.0623218051053633,MV-002,sine_steer_40kmh
11,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.005,39.995095698592,-0.0178200819583729,-0.208809660364053,-8.93228727721772e-06,-1.89816905772307,-0.963729569940305,-1.00109687256894e-05,0.0944691942493222,0,-0.00520753441591923,-0.0715613540197247,MV-002,sine_steer_40kmh
12,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.006,39.9942750817409,-0.0212415284810618,-0.239574743606369,-1.28512718167202e-05,-1.89737584720568,-0.952618338944811,-1.17815182782898e-05,0.105581413177888,0,-0.00653850169360516,-0.0834359450682863,MV-002,sine_steer_40kmh
13,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.007,39.9934888804931,-0.0246204323532213,-0.267965058741028,-1.74757703173473e-05,-1.89657964064958,-0.941507174303777,-1.38389304406412e-05,0.116693493199603,0,-0.00800339141779116,-0.0977229822304552,MV-002,sine_steer_40kmh
