sample_index,run_number,timestamp_local_iso8601,sim_time_s,state_vehicle_speed_kmh,state_beta_trucksim_deg,state_yaw_rate_trucksim_degps,state_x_m,state_y_m,state_xt_m,state_yt_m,state_steer_delta_deg,case_id,case_name
1,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0,0.1,0,0,-1.05819009496492,0,0,0,0,MV-002,sine_steer_20kmh
2,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.001,0.1,0,0,-1.05819009496492,0,0,0,0.00251327346140465,MV-002,sine_steer_20kmh
3,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.002,40,0,4.70468973902359e-20,-1.05816231718715,0,2.77777777777778e-05,0,0.00502654295400745,MV-002,sine_steer_20kmh
4,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.003,39.9999363802346,2.75889631166143e-08,0.000102927917052227,-1.04150933490558,6.50844639819579e-25,0.0166815574786947,0,0.00753980450901283,MV-002,sine_steer_20kmh
5,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.004,39.9998414852099,4.01721854402029e-07,0.000172914931659237,-1.03039800033494,3.27682217179042e-09,0.0277938663214497,0,0.0100530541576377,MV-002,sine_steer_20kmh
6,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.005,39.9997241990719,1.34798760530044e-06,0.000249951082806175,-1.01928666014344,7.47596334794902e-09,0.0389063221805821,0,0.0125662879311179,MV-002,sine_steer_20kmh
7,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.006,39.9995875745191,3.05108815808548e-06,0.00032401033653543,-1.00817533869945,1.33938670423965e-08,0.0500188251337609,0,0.0150795018607142,MV-002,sine_steer_20kmh
8,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.007,39.9994351409075,5.71585211283196e-06,0.000398032478551472,-0.997064055396395,2.08387481281954e-08,0.0611312995318651,0,0.0175926919777187,MV-002,sine_steer_20kmh
9,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.008,39.9992695332161,9.53980231723003e-06,0.000475683318483237,-0.985952824249606,2.99101700772507e-08,0.0722436920061982,0,0.0201058543134613,MV-002,sine_steer_20kmh
10,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.009,39.9990927647126,1.4712015048718e-05,0.00056047405824434,-0.974841655234094,4.0771104563873e-08,0.0833559666150771,0,0.0226189848993155,MV-002,sine_steer_20kmh
11,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.01,39.998906344362,2.14132468604154e-05,0.000656174361988753,-0.963730555000996,5.36457999293375e-08,0.0944681018528952,0,0.0251320797667052,MV-002,sine_steer_20kmh
12,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.011,39.9987113890681,2.98143883603813e-05,0.000766240383128929,-0.952619527573699,6.88320550588355e-08,0.105580087716753,0,0.0276451349471105,MV-002,sine_steer_20kmh
13,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.012,39.9985087176234,4.00762025686756e-05,0.000893798243884261,-0.941508574955262,8.66853410104079e-08,0.116691923091039,0,0.0301581464720742,MV-002,sine_steer_20kmh
14,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.013,39.9982989287209,5.23492166098867e-05,0.00104161371192393,-0.930397697651201,1.07614031297714e-07,0.12780361345658,0,0.0326711103732082,MV-002,sine_steer_20kmh
15,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.014,39.9980824644822,6.67738902849912e-05,0.00121211136710414,-0.919286895110674,1.32072931729422e-07,0.138915168925077,0,0.0351840226821994,MV-002,sine_steer_20kmh
16,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.015,39.997859661099,8.34809913653107e-05,0.00140741735013319,-0.908176166091103,1.60558171911148e-07,0.150026602588829,0,0.0376968794308164,MV-002,sine_steer_20kmh
17,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.016,39.9976307882235,0.000102592106493831,0.00162940666478084,-0.897065508952658,1.93603162990246e-07,0.161137929166842,0,0.0402096766509152,MV-002,sine_steer_20kmh
18,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.017,39.9973960787146,0.000124220242491994,0.00187974992666764,-0.885954921889918,2.31775356708425e-07,0.172249163922629,0,0.0427224103744461,MV-002,sine_steer_20kmh
19,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.018,39.9971557502698,0.000148470473002518,0.0021599550275218,-0.874844403108343,2.75673706218036e-07,0.183360321825515,0,0.0452350766334595,MV-002,sine_steer_20kmh
20,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.019,39.9969100203643,0.000175440594130453,0.00247140225148958,-0.863733950953255,3.25926649882004e-07,0.194471416925604,0,0.0477476714601125,MV-002,sine_steer_20kmh
21,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.02,39.9966591157868,0.000205221759822349,0.00281537266065418,-0.852623563998734,3.83190487843721e-07,0.205582461912371,0,0.050260190886675,MV-002,sine_steer_20kmh
22,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.021,39.9964032779193,0.000237899074658064,0.00319307026471378,-0.841513241103423,4.48148045302303e-07,0.216693467827775,0,0.0527726309455356,MV-002,sine_steer_20kmh
23,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.022,39.9961427647602,0.000273552128380669,0.00360563882924348,-0.830402981439642,5.21507541742853e-07,0.227804443906457,0,0.0552849876692088,MV-002,sine_steer_20kmh
24,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.023,39.9958778505449,0.000312255462518592,0.00405417426105553,-0.81929278450154,6.04001607041949e-07,0.238915397517897,0,0.0577972570903402,MV-002,sine_steer_20kmh
25,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.024,39.9956088242272,0.000354078964763177,0.00453973655171453,-0.808182650097355,6.96386401858883e-07,0.250026334187911,0,0.0603094352417135,MV-002,sine_steer_20kmh
26,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.025,39.9953359872313,0.000399088186626031,0.00506334859453181,-0.797072578329884,7.99440817746099e-07,0.261137257679923,0,0.0628215181562566,MV-002,sine_steer_20kmh
27,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.026,39.995059644542,0.000447344605291984,0.00562600566294319,-0.785962569568755,9.13965712457018e-07,0.272248170118981,0,0.0653335018670476,MV-002,sine_steer_20kmh
28,2026年09月05日_22时17分17秒_第005次,2026-09-05T22:17:17,0.027,39.9947801056746,0.000498905811883417,0.00622867676163682,-0.774852624420145,1.04078320670236e-06,0.28335907214143,0,0.0678453824073214,MV-002,sine_steer_20kmh
