sample_index,run_number,timestamp_local_iso8601,sim_time_s,state_vehicle_speed_kmh,state_beta_3dof_deg,state_yaw_rate_3dof_degps,state_y_3dof_m,state_steer_delta_deg,state_x_m,state_y_m,state_xt_m,state_yt_m,state_beta_trucksim_deg,state_yaw_rate_trucksim_degps,case_id,case_name
1,2026年08月29日_16时18分53秒_第001次,2026-08-29T16:18:53,0,30,0,0,0,3,-1.05819009496492,0,0,0,0,0,MV-001,step_steer_30kmh
2,2026年08月29日_16时18分53秒_第001次,2026-08-29T16:18:53,3.2230218494078e-16,30,3.69822477167019e-15,4.21985453208607e-14,8.66807479886646e-32,3,-1.05819009496492,0,0,0,0,0,MV-001,step_steer_30kmh
3,2026年08月29日_16时18分53秒_第001次,2026-08-29T16:18:53,3.22302184940784e-16,30,3.69822477167025e-15,4.21985453208614e-14,8.66807479886672e-32,3,-1.05816231718715,0,2.77777777777778e-05,0,2.22260917759157e-05,0.0802194238144651,MV-001,step_steer_30kmh
4,2026年08月29日_16时18分53秒_第001次,2026-08-29T16:18:53,4.29736246587712e-16,30,4.93096636222699e-15,5.62647270944826e-14,1.54099111334524e-31,3,-1.04150933533461,2.55467501963852e-06,0.0166815565699411,0,-4.1086838092459e-05,0.0721123485493863,MV-001,step_steer_30kmh
5,2026年08月29日_16时18分53秒_第001次,2026-08-29T16:18:53,4.29736246587715e-16,30,4.93096636222704e-15,5.62647270944831e-14,1.54099111334527e-31,3,-1.03039780335351,3.88306395262228e-06,0.0277940754348566,0,0.000480172351072648,0.0807657759699713,MV-001,step_steer_30kmh
6,2026年08月29日_16时18分53秒_第001次,2026-08-29T16:18:53,8.79383654583112e-05,30.0000549203251,0.00100301624424836,0.0113802520599474,6.42931357401621e-09,3,-1.01928623414726,5.70479249298583e-06,0.0389067786989797,0,0.00115739507559992,0.0780740432432753,MV-001,step_steer_30kmh
7,2026年08月29日_16时18分53秒_第001次,2026-08-29T16:18:53,0.000527630192747719,30.0006208008467,0.00584286103495306,0.0644746207944352,2.27309217321676e-07,3,-1.00817462445405,7.36339008701197e-06,0.05001959661001,0,0.00208070771912585,0.0772214251109326,MV-001,step_steer_30kmh
8,2026年08月29日_16时18分53秒_第001次,2026-08-29T16:18:53,0.001,30.0017235285939,0.0107361401531965,0.115096068389305,8.0113177125428e-07,3,-0.99706300306637,9.09614439197696e-06,0.0611324443404603,0,0.00324510256301855,0.0791667685006912,MV-001,step_steer_30kmh
9,2026年08月29日_16时18分53秒_第001次,2026-08-29T16:18:53,0.002,30.0054854492628,0.0201694290270198,0.204103436367574,3.08283164635163e-06,3,-0.985951390486263,1.09569722314068e-05,0.0722452621374359,0,0.00464810211254825,0.0850461816846735,MV-001,step_steer_30kmh
10,2026年08月29日_16时18分53秒_第001次,2026-08-29T16:18:53,0.003,30.0108110000379,0.0285389784596916,0.273896420021758,6.68729181644452e-06,3,-0.974839803105399,1.30325888350495e-05,0.0833580075242928,0,0.00628082803496693,0.0952569773166922,MV-001,step_steer_30kmh
